#      n_Li         E_nn       E_site            f          f_I          D_t       D_c oll       n_oct        n_tet

# E_nn = 0.0 E_site = 0.0
          1          0.0          0.0        1.010        1.010    6.352E-07    6.352E-07         0.67         0.33
         32          0.0          0.0        0.948        0.999    5.643E-07    5.947E-07        21.33        10.67
         64          0.0          0.0        0.902        0.995    5.053E-07    5.577E-07        42.67        21.33
         96          0.0          0.0        0.856        1.005    4.495E-07    5.281E-07        64.01        31.99
        128          0.0          0.0        0.808        0.999    3.965E-07    4.898E-07        85.34        42.66
        160          0.0          0.0        0.765        0.998    3.484E-07    4.544E-07       106.66        53.34
        192          0.0          0.0        0.721        0.998    3.029E-07    4.195E-07       127.99        64.01
        224          0.0          0.0        0.677        1.004    2.610E-07    3.868E-07       149.34        74.66
        256          0.0          0.0        0.636        0.998    2.227E-07    3.494E-07       170.67        85.33
        288          0.0          0.0        0.594        0.990    1.874E-07    3.121E-07       191.99        96.01
        320          0.0          0.0        0.553        1.006    1.550E-07    2.819E-07       213.32       106.68
        352          0.0          0.0        0.514        0.986    1.260E-07    2.418E-07       234.66       117.34
        384          0.0          0.0        0.475        1.003    9.974E-08    2.108E-07       256.01       127.99
        416          0.0          0.0        0.436        0.996    7.638E-08    1.744E-07       277.33       138.67
        448          0.0          0.0        0.399        0.989    5.586E-08    1.385E-07       298.66       149.34
        480          0.0          0.0        0.361        1.005    3.795E-08    1.056E-07       320.00       160.00
        512          0.0          0.0        0.325        0.988    2.277E-08    6.920E-08       341.33       170.67
        544          0.0          0.0        0.288        0.990    1.009E-08    3.466E-08       362.67       181.33
        575          0.0          0.0        0.251        0.987    2.743E-10    1.080E-09       383.33       191.67

# E_nn = 0.0 E_site = 1.0
          1          0.0          1.0        1.003        1.003    4.012E-07    4.012E-07         0.42         0.58
         32          0.0          1.0        0.916        0.964    3.446E-07    3.627E-07        14.03        17.97
         64          0.0          1.0        0.852        0.958    2.993E-07    3.367E-07        29.03        34.97
         96          0.0          1.0        0.788        0.951    2.569E-07    3.102E-07        45.01        50.99
        128          0.0          1.0        0.735        0.943    2.212E-07    2.837E-07        61.97        66.03
        160          0.0          1.0        0.689        0.933    1.900E-07    2.573E-07        79.92        80.08
        192          0.0          1.0        0.649        0.916    1.626E-07    2.295E-07        98.80        93.20
        224          0.0          1.0        0.611        0.941    1.382E-07    2.127E-07       118.59       105.41
        256          0.0          1.0        0.577        0.926    1.166E-07    1.870E-07       139.29       116.71
        288          0.0          1.0        0.545        0.936    9.721E-08    1.671E-07       160.83       127.17
        320          0.0          1.0        0.513        0.928    7.980E-08    1.442E-07       183.14       136.86
        352          0.0          1.0        0.484        0.947    6.452E-08    1.262E-07       206.20       145.80
        384          0.0          1.0        0.453        0.931    5.073E-08    1.041E-07       229.92       154.08
        416          0.0          1.0        0.422        0.967    3.855E-08    8.831E-08       254.30       161.70
        448          0.0          1.0        0.391        0.962    2.794E-08    6.877E-08       279.26       168.74
